               table               |                     index                      | index_size | is_unique | is_primary |                                                                    def                                                                    
 customer_sessions                 | idx_customer_sessions_expires_at               | 16 kB      | f         | f          | CREATE INDEX idx_customer_sessions_expires_at ON public.customer_sessions USING btree (expires_at)
 customer_sessions                 | uq_customer_sessions_token_hash                | 16 kB      | t         | f          | CREATE UNIQUE INDEX uq_customer_sessions_token_hash ON public.customer_sessions USING btree (token_hash) WHERE (token_hash IS NOT NULL)
 customers                         | customers_email_key                            | 16 kB      | t         | f          | CREATE UNIQUE INDEX customers_email_key ON public.customers USING btree (email)
 customers                         | customers_email_lower_unique                   | 16 kB      | t         | f          | CREATE UNIQUE INDEX customers_email_lower_unique ON public.customers USING btree (lower(email))
 customers                         | customers_pkey                                 | 16 kB      | t         | t          | CREATE UNIQUE INDEX customers_pkey ON public.customers USING btree (id)
 customers                         | idx_customers_active                           | 16 kB      | f         | f          | CREATE INDEX idx_customers_active ON public.customers USING btree (is_active)
 customers                         | idx_customers_created_at                       | 16 kB      | f         | f          | CREATE INDEX idx_customers_created_at ON public.customers USING btree (created_at DESC)
 customers                         | idx_customers_email_lower                      | 16 kB      | f         | f          | CREATE INDEX idx_customers_email_lower ON public.customers USING btree (lower(email))
 email_send_log                    | email_send_log_created_at_idx                  | 16 kB      | f         | f          | CREATE INDEX email_send_log_created_at_idx ON public.email_send_log USING btree (created_at DESC)
 email_send_log                    | email_send_log_kind_idx                        | 16 kB      | f         | f          | CREATE INDEX email_send_log_kind_idx ON public.email_send_log USING btree (kind)
 email_send_log                    | email_send_log_pkey                            | 16 kB      | t         | t          | CREATE UNIQUE INDEX email_send_log_pkey ON public.email_send_log USING btree (id)
 email_send_log                    | email_send_log_to_email_idx                    | 16 kB      | f         | f          | CREATE INDEX email_send_log_to_email_idx ON public.email_send_log USING btree (to_email)
 email_send_logs                   | email_send_logs_created_at_idx                 | 16 kB      | f         | f          | CREATE INDEX email_send_logs_created_at_idx ON public.email_send_logs USING btree (created_at DESC)
 email_send_logs                   | email_send_logs_kind_idx                       | 16 kB      | f         | f          | CREATE INDEX email_send_logs_kind_idx ON public.email_send_logs USING btree (kind)
 email_send_logs                   | email_send_logs_pkey                           | 16 kB      | t         | t          | CREATE UNIQUE INDEX email_send_logs_pkey ON public.email_send_logs USING btree (id)
 email_send_logs                   | email_send_logs_to_idx                         | 16 kB      | f         | f          | CREATE INDEX email_send_logs_to_idx ON public.email_send_logs USING btree ("to")
 inventory                         | inventory_pkey                                 | 8192 bytes | t         | t          | CREATE UNIQUE INDEX inventory_pkey ON public.inventory USING btree (variant_id)
 newsletter_subscribers            | idx_newsletter_created_at                      | 16 kB      | f         | f          | CREATE INDEX idx_newsletter_created_at ON public.newsletter_subscribers USING btree (created_at DESC)
 newsletter_subscribers            | idx_newsletter_email_unique                    | 16 kB      | t         | f          | CREATE UNIQUE INDEX idx_newsletter_email_unique ON public.newsletter_subscribers USING btree (email)
 newsletter_subscribers            | idx_newsletter_updated                         | 16 kB      | f         | f          | CREATE INDEX idx_newsletter_updated ON public.newsletter_subscribers USING btree (updated_at DESC)
 newsletter_subscribers            | newsletter_subscribers_email_key               | 16 kB      | t         | f          | CREATE UNIQUE INDEX newsletter_subscribers_email_key ON public.newsletter_subscribers USING btree (email)
 newsletter_subscribers            | newsletter_subscribers_pkey                    | 16 kB      | t         | t          | CREATE UNIQUE INDEX newsletter_subscribers_pkey ON public.newsletter_subscribers USING btree (id)
 newsletter_subscribers            | ux_newsletter_email                            | 16 kB      | t         | f          | CREATE UNIQUE INDEX ux_newsletter_email ON public.newsletter_subscribers USING btree (email)
 order_items                       | idx_order_items_order_id                       | 8192 bytes | f         | f          | CREATE INDEX idx_order_items_order_id ON public.order_items USING btree (order_id)
 order_items                       | order_items_pkey                               | 8192 bytes | t         | t          | CREATE UNIQUE INDEX order_items_pkey ON public.order_items USING btree (id)
 order_refunds                     | order_refunds_idem_uq                          | 8192 bytes | t         | f          | CREATE UNIQUE INDEX order_refunds_idem_uq ON public.order_refunds USING btree (order_id, idempotency_key)
 order_refunds                     | order_refunds_pkey                             | 8192 bytes | t         | t          | CREATE UNIQUE INDEX order_refunds_pkey ON public.order_refunds USING btree (id)
 orders                            | idx_orders_cart_id                             | 16 kB      | f         | f          | CREATE INDEX idx_orders_cart_id ON public.orders USING btree (cart_id)
 orders                            | idx_orders_created                             | 16 kB      | f         | f          | CREATE INDEX idx_orders_created ON public.orders USING btree (created_at)
 orders                            | idx_orders_created_at                          | 16 kB      | f         | f          | CREATE INDEX idx_orders_created_at ON public.orders USING btree (created_at DESC)
 orders                            | idx_orders_customer_id_created_at              | 16 kB      | f         | f          | CREATE INDEX idx_orders_customer_id_created_at ON public.orders USING btree (customer_id, created_at DESC)
 orders                            | idx_orders_discount_source                     | 16 kB      | f         | f          | CREATE INDEX idx_orders_discount_source ON public.orders USING btree (discount_source)
 orders                            | idx_orders_inventory_committed_at              | 16 kB      | f         | f          | CREATE INDEX idx_orders_inventory_committed_at ON public.orders USING btree (inventory_committed_at)
 orders                            | idx_orders_paytabs_tran_ref                    | 16 kB      | f         | f          | CREATE INDEX idx_orders_paytabs_tran_ref ON public.orders USING btree (paytabs_tran_ref)
 orders                            | idx_orders_promo_code                          | 16 kB      | f         | f          | CREATE INDEX idx_orders_promo_code ON public.orders USING btree (promo_code)
 orders                            | idx_orders_promo_consume_failed                | 16 kB      | f         | f          | CREATE INDEX idx_orders_promo_consume_failed ON public.orders USING btree (promo_consume_failed)
 orders                            | idx_orders_promo_consumed                      | 16 kB      | f         | f          | CREATE INDEX idx_orders_promo_consumed ON public.orders USING btree (promo_consumed)
 orders                            | idx_orders_status                              | 16 kB      | f         | f          | CREATE INDEX idx_orders_status ON public.orders USING btree (status)
 orders                            | orders_cart_id_key                             | 16 kB      | t         | f          | CREATE UNIQUE INDEX orders_cart_id_key ON public.orders USING btree (cart_id)
 orders                            | orders_created_at_idx                          | 16 kB      | f         | f          | CREATE INDEX orders_created_at_idx ON public.orders USING btree (created_at DESC)
 orders                            | orders_customer_gin_idx                        | 24 kB      | f         | f          | CREATE INDEX orders_customer_gin_idx ON public.orders USING gin (customer)
 orders                            | orders_inventory_commit_idx                    | 16 kB      | f         | f          | CREATE INDEX orders_inventory_commit_idx ON public.orders USING btree (inventory_committed_at)
 orders                            | orders_payment_method_idx                      | 16 kB      | f         | f          | CREATE INDEX orders_payment_method_idx ON public.orders USING btree (payment_method)
 orders                            | orders_pkey                                    | 16 kB      | t         | t          | CREATE UNIQUE INDEX orders_pkey ON public.orders USING btree (id)
 orders                            | orders_status_idx                              | 16 kB      | f         | f          | CREATE INDEX orders_status_idx ON public.orders USING btree (status)
 password_reset_tokens             | idx_password_reset_tokens_expires              | 8192 bytes | f         | f          | CREATE INDEX idx_password_reset_tokens_expires ON public.password_reset_tokens USING btree (expires_at)
 password_reset_tokens             | idx_password_reset_tokens_staff                | 8192 bytes | f         | f          | CREATE INDEX idx_password_reset_tokens_staff ON public.password_reset_tokens USING btree (staff_user_id)
 password_reset_tokens             | password_reset_tokens_pkey                     | 8192 bytes | t         | t          | CREATE UNIQUE INDEX password_reset_tokens_pkey ON public.password_reset_tokens USING btree (id)
 payments                          | payments_paytabs_tran_ref_key                  | 8192 bytes | t         | f          | CREATE UNIQUE INDEX payments_paytabs_tran_ref_key ON public.payments USING btree (paytabs_tran_ref)
 payments                          | payments_pkey                                  | 8192 bytes | t         | t          | CREATE UNIQUE INDEX payments_pkey ON public.payments USING btree (id)
 paytabs_callbacks                 | idx_paytabs_callbacks_cart_id                  | 16 kB      | f         | f          | CREATE INDEX idx_paytabs_callbacks_cart_id ON public.paytabs_callbacks USING btree (cart_id)
 paytabs_callbacks                 | idx_paytabs_callbacks_created_at               | 16 kB      | f         | f          | CREATE INDEX idx_paytabs_callbacks_created_at ON public.paytabs_callbacks USING btree (created_at DESC)
